PCON24NM,nation,mp_name,mp_party,mp_email,la_name,child_pop_0_19,imd_decile,imd_score,pct_non_decent_homes,total_homes_la,n_dwellings_voa,estimated_children_bl_5plus,rate_per_1000_bl_5plus,pct_pre_1900,pct_pre_1945,pct_pre_1972,pct_pre_1992,housing_source,n_mines_total,n_macklin,n_macklin_pb_relevant,n_iocmwf_metalliferous,n_iocmwf_water_pollution
Clacton,England,Nigel Farage,Reform UK,nigel.farage.mp@parliament.uk,Tendring,19505.0,1,35.99501186272346,15.2,70116.0,50944,499,25.6,10.4,29.87,59.08,79.82,VOA CTSOP 2023 (LAD),0,0,0,0,0
Clapham and Brixton Hill,England,Bell Ribeiro-Addy,Labour,bell.ribeiroaddy.mp@parliament.uk,Lambeth,16914.0,5.0,,11.1,145797.0,52027,367,21.7,36.88,53.84,71.11,80.06,VOA CTSOP 2023 (LAD),0,0,0,0,0
Colchester,England,Pam Cox,Labour,pam.cox.mp@parliament.uk,Colchester,30483.0,6,19.687278293402404,10.5,83024.0,47411,635,20.8,9.94,21.6,47.38,68.78,VOA CTSOP 2023 (LAD),0,0,0,0,0
Colne Valley,England,Paul Davies,Labour,paul.davies.mp@parliament.uk,Kirklees,21426.0,6,18.989373923376657,19.2,184772.0,38308,479,22.4,22.76,41.82,67.94,79.46,VOA CTSOP 2023 (LAD),0,0,0,0,0
Congleton,England,Sarah Russell,Labour,sarah.russell.mp@parliament.uk,Cheshire East,21005.0,9,12.44616201455067,14.4,180017.0,35954,403,19.2,15.92,29.61,57.23,73.64,VOA CTSOP 2023 (LAD),1,1,1,0,0
Corby and East Northamptonshire,England,Lee Barron,Labour,lee.barron.mp@parliament.uk,North Northamptonshire,31052.0,5.0,,14.6,156363.0,48932,694,22.3,12.56,25.13,51.99,69.02,VOA CTSOP 2023 (LAD),0,0,0,0,0
Coventry East,England,Mary Creagh,Labour,mary.creagh.mp@parliament.uk,Coventry,36087.0,5.0,,16.6,136126.0,50497,819,22.7,4.13,40.13,70.94,78.48,VOA CTSOP 2023 (LAD),0,0,0,0,0
Coventry North West,England,Taiwo Owatemi,Labour,taiwo.owatemi.mp@parliament.uk,Coventry,27847.0,5,22.83219944590911,16.6,136126.0,50497,632,22.7,4.13,40.13,70.94,78.48,VOA CTSOP 2023 (LAD),0,0,0,0,0
Coventry South,England,Zarah Sultana,Your Party,zarah.sultana.mp@parliament.uk,Coventry,28819.0,5,22.76098718341347,16.6,136126.0,50497,654,22.7,4.13,40.13,70.94,78.48,VOA CTSOP 2023 (LAD),0,0,0,0,0
Cramlington and Killingworth,England,Emma Foody,Labour (Co-op),emma.foody.mp@parliament.uk,Northumberland,21470.0,5.0,,17.5,152126.0,59085,491,22.9,12.39,35.57,63.27,79.75,VOA CTSOP 2023 (LAD),2,1,1,0,1
Crawley,England,Peter Lamb,Labour,peter.lamb.mp@parliament.uk,Crawley,32724.0,6,18.96680220444982,9.6,48152.0,47080,677,20.7,1.44,4.29,46.5,75.3,VOA CTSOP 2023 (LAD),0,0,0,0,0
Crewe and Nantwich,England,Connor Naismith,Labour,connor.naismith.mp@parliament.uk,Cheshire East,27030.0,6,19.81589496204526,14.4,180017.0,46740,582,21.5,15.92,29.61,57.23,73.64,VOA CTSOP 2023 (LAD),0,0,0,0,0
Croydon East,England,Natasha Irons,Labour,natasha.irons.mp@parliament.uk,Croydon,28321.0,5.0,,10.9,165899.0,51281,614,21.7,19.44,52.74,72.83,83.23,VOA CTSOP 2023 (LAD),0,0,0,0,0
Croydon South,England,Chris Philp,Conservative,chris.philp.mp@parliament.uk,Croydon,26384.0,8,14.717169175651641,10.9,165899.0,45583,512,19.4,19.44,52.74,72.83,83.23,VOA CTSOP 2023 (LAD),0,0,0,0,0
Croydon West,England,Sarah Jones,Labour,sarah.jones.mp@parliament.uk,Croydon,35003.0,5.0,,10.9,165899.0,45583,758,21.7,19.44,52.74,72.83,83.23,VOA CTSOP 2023 (LAD),0,0,0,0,0
Dagenham and Rainham,England,Margaret Mullane,Labour,margaret.mullane.mp@parliament.uk,Barking and Dagenham,37505.0,3,26.921771272360527,10.2,80291.0,57561,864,23.0,1.38,50.56,74.89,80.94,VOA CTSOP 2023 (LAD),0,0,0,0,0
Darlington,England,Lola McEvoy,Labour,lola.mcevoy.mp@parliament.uk,Darlington,22887.0,3,27.95413559506098,14.7,50652.0,47790,547,23.9,10.02,40.68,62.35,77.08,VOA CTSOP 2023 (LAD),0,0,0,0,0
Dartford,England,Jim Dickson,Labour,jim.dickson.mp@parliament.uk,Dartford,33331.0,6,18.93044004960016,10.8,48385.0,46636,697,20.9,10.19,31.41,56.77,67.2,VOA CTSOP 2023 (LAD),1,2,2,0,0
Daventry,England,Stuart Andrew,Conservative,stuart.andrew.mp@parliament.uk,West Northamptonshire,24391.0,9,12.390963470140468,15.9,181459.0,50997,474,19.4,12.57,23.88,48.07,70.37,VOA CTSOP 2023 (LAD),0,0,0,0,0
Derby North,England,Catherine Atkinson,Labour,catherine.atkinson.mp@parliament.uk,Derby,25857.0,5,23.096751889711356,17.5,111119.0,51819,591,22.9,14.86,38.08,62.63,82.13,VOA CTSOP 2023 (LAD),0,0,0,0,0
Derby South,England,Baggy Shanker,Labour (Co-op),baggy.shanker.mp@parliament.uk,Derby,34694.0,2,35.14526765748452,17.5,111119.0,42398,876,25.2,14.86,38.08,62.63,82.13,VOA CTSOP 2023 (LAD),0,0,0,0,0
Derbyshire Dales,England,John Whitby,Labour,john.whitby.mp@parliament.uk,Derbyshire Dales,17397.0,9,11.853298483521094,27.5,33997.0,47750,370,21.3,30.02,43.5,63.32,77.01,VOA CTSOP 2023 (LAD),6,7,7,0,0
Dewsbury and Batley,England,Iqbal Mohamed,Independent,iqbal.mohamed.mp@parliament.uk,Kirklees,30460.0,5.0,,19.2,184772.0,45970,706,23.2,22.76,41.82,67.94,79.46,VOA CTSOP 2023 (LAD),0,0,0,0,0
Didcot and Wantage,England,Olly Glover,Liberal Democrat,olly.glover.mp@parliament.uk,Vale of White Horse,28974.0,5.0,,11.2,60678.0,44777,629,21.7,11.28,21.67,50.61,69.85,VOA CTSOP 2023 (LAD),0,0,0,0,0
Doncaster Central,England,Sally Jameson,Labour (Co-op),sally.jameson.mp@parliament.uk,Doncaster,28342.0,2,31.150123215135118,14.3,138626.0,54297,698,24.6,5.75,34.13,63.71,79.81,VOA CTSOP 2023 (LAD),0,0,0,0,0
Doncaster East and the Isle of Axholme,England,Lee Pitcher,Labour,lee.pitcher.mp@parliament.uk,Doncaster,21607.0,5.0,,14.3,138626.0,37676,482,22.3,7.43,31.75,62.3,78.77,VOA CTSOP 2023 (LAD),0,0,0,0,0
Doncaster North,England,Ed Miliband,Labour,ed.miliband.mp@parliament.uk,Doncaster,23647.0,2,33.58912741539772,14.3,138626.0,47510,582,24.6,5.75,34.13,63.71,79.81,VOA CTSOP 2023 (LAD),0,0,0,0,0
Dorking and Horley,England,Chris Coghlan,Liberal Democrat,chris.coghlan.mp@parliament.uk,Mole Valley,22109.0,5.0,,12.2,39194.0,40274,484,21.9,13.63,36.14,64.21,79.97,VOA CTSOP 2023 (LAD),0,0,0,0,0
Dover and Deal,England,Mike Tapp,Labour,mike.tapp.mp@parliament.uk,Dover,23594.0,5.0,,18.1,53317.0,48476,542,23.0,25.99,43.37,68.15,81.94,VOA CTSOP 2023 (LAD),0,0,0,0,0
Droitwich and Evesham,England,Nigel Huddleston,Conservative,nigel.huddleston.mp@parliament.uk,Wychavon,22338.0,5.0,,16.6,58183.0,44799,507,22.7,14.49,23.23,46.39,66.64,VOA CTSOP 2023 (LAD),0,0,0,0,0
Dudley,England,Sonia Kumar,Labour,sonia.kumar.mp@parliament.uk,Dudley,27152.0,5.0,,13.2,139013.0,43357,600,22.1,6.15,28.58,69.6,86.2,VOA CTSOP 2023 (LAD),0,0,0,0,0
Dulwich and West Norwood,England,Helen Hayes,Labour,helen.hayes.mp@parliament.uk,Lambeth,23411.0,4,23.716529473103638,11.1,145797.0,53890,526,22.5,33.0,47.97,66.22,76.23,VOA CTSOP 2023 (LAD),0,0,0,0,0
Dunstable and Leighton Buzzard,England,Alex Mayer,Labour,alex.mayer.mp@parliament.uk,Central Bedfordshire,30433.0,5.0,,8.9,125410.0,44942,648,21.3,8.93,17.96,45.87,66.38,VOA CTSOP 2023 (LAD),0,0,0,0,0
Ealing Central and Acton,England,Dr Rupa Huq,Labour,rupa.huq.mp@parliament.uk,Ealing,29636.0,6,20.055090720832222,10.9,144747.0,52007,620,20.9,20.81,60.74,72.15,81.34,VOA CTSOP 2023 (LAD),0,0,0,0,0
Ealing North,England,James Murray,Labour (Co-op),james.murray.mp@parliament.uk,Ealing,33916.0,5,23.405919624574807,10.9,144747.0,49243,735,21.7,12.79,59.23,71.46,81.03,VOA CTSOP 2023 (LAD),0,0,0,0,0
Ealing Southall,England,Deirdre Costigan,Labour,deirdre.costigan.mp@parliament.uk,Ealing,31881.0,5.0,,10.9,144747.0,55399,691,21.7,12.79,59.23,71.46,81.03,VOA CTSOP 2023 (LAD),0,0,0,0,0
Earley and Woodley,England,Yuan Yang,Labour,yuan.yang.mp@parliament.uk,Wokingham,29100.0,5.0,,7.3,73124.0,44542,612,21.0,7.63,19.06,47.25,71.62,VOA CTSOP 2023 (LAD),0,0,0,0,0
Easington,England,Grahame Morris,Labour,grahame.morris.mp@parliament.uk,County Durham,21361.0,1,36.12225120755358,14.7,242900.0,51366,544,25.5,13.72,35.98,64.71,78.73,VOA CTSOP 2023 (LAD),0,0,0,0,0
East Grinstead and Uckfield,England,Mims Davies,Conservative,mims.davies.mp@parliament.uk,Mid Sussex,23124.0,5.0,,11.1,66782.0,46958,502,21.7,12.54,25.43,55.35,74.35,VOA CTSOP 2023 (LAD),0,0,0,0,0
East Ham,England,Sir Stephen Timms,Labour,timmss@parliament.uk,Newham,38760.0,3,28.362951920972645,12.5,125886.0,47404,910,23.5,28.94,43.46,58.43,68.53,VOA CTSOP 2023 (LAD),0,0,0,0,0
East Hampshire,England,Damian Hinds,Conservative,damian.hinds.mp@parliament.uk,East Hampshire,19644.0,10,10.94830676167223,12.6,55650.0,47546,357,18.2,10.38,21.01,46.91,73.37,VOA CTSOP 2023 (LAD),0,0,0,0,0
East Surrey,England,Claire Coutinho,Conservative,claire.coutinho.mp@parliament.uk,Tandridge,25098.0,9,12.024301960508872,11.9,37626.0,42125,472,18.8,12.98,35.53,64.76,76.96,VOA CTSOP 2023 (LAD),0,0,0,0,0
East Thanet,England,Ms Polly Billington,Labour,polly.billington.mp@parliament.uk,Thanet,24796.0,5.0,,18.3,65608.0,50830,571,23.0,26.04,47.75,73.13,85.97,VOA CTSOP 2023 (LAD),0,0,0,0,0
East Wiltshire,England,Danny Kruger,Reform UK,danny.kruger.mp@parliament.uk,Wiltshire,25477.0,5.0,,13.5,229103.0,49557,564,22.1,15.89,25.49,51.51,70.49,VOA CTSOP 2023 (LAD),0,0,0,0,0
East Worthing and Shoreham,England,Tom Rutland,Labour,tom.rutland.mp@parliament.uk,Adur,22047.0,7,16.41525235363489,13.3,29282.0,44688,453,20.5,4.67,37.06,74.9,88.52,VOA CTSOP 2023 (LAD),0,0,0,0,0
Eastbourne,England,Josh Babarinde,Liberal Democrat,josh.babarinde.mp@parliament.uk,Eastbourne,21885.0,5,21.29003707864159,17.3,48285.0,49580,500,22.8,19.67,36.33,61.44,82.73,VOA CTSOP 2023 (LAD),0,0,0,0,0
Eastleigh,England,Liz Jarvis,Liberal Democrat,liz.jarvis.mp@parliament.uk,Eastleigh,22581.0,9,11.455446239390234,9.2,60144.0,41566,415,18.4,4.27,17.16,42.57,68.67,VOA CTSOP 2023 (LAD),0,0,0,0,0
Edmonton and Winchmore Hill,England,Kate Osamor,Labour (Co-op),kate.osamor.mp@parliament.uk,Enfield,34205.0,5.0,,11.2,131096.0,45846,743,21.7,10.69,58.81,75.62,85.0,VOA CTSOP 2023 (LAD),0,0,0,0,0
Ellesmere Port and Bromborough,England,Justin Madders,Labour,justin.madders.mp@parliament.uk,Cheshire West and Chester,23062.0,5.0,,14.1,159832.0,46030,513,22.2,13.32,31.41,63.72,78.48,VOA CTSOP 2023 (LAD),0,0,0,0,0
Eltham and Chislehurst,England,Clive Efford,Labour,clive.efford.mp@parliament.uk,Greenwich,28480.0,5.0,,8.8,123901.0,47531,606,21.3,15.0,41.38,62.44,74.36,VOA CTSOP 2023 (LAD),0,0,0,0,0
Ely and East Cambridgeshire,England,Charlotte Cane,Liberal Democrat,charlotte.cane.mp@parliament.uk,East Cambridgeshire,25699.0,5.0,,12.0,38605.0,45670,562,21.9,11.67,21.26,42.18,60.95,VOA CTSOP 2023 (LAD),0,0,0,0,0
Enfield North,England,Feryal Clark,Labour,feryal.clark.mp@parliament.uk,Enfield,37174.0,3,27.039375064920865,11.2,131096.0,45846,864,23.2,10.69,58.81,75.62,85.0,VOA CTSOP 2023 (LAD),0,0,0,0,0
Epping Forest,England,Dr Neil Hudson,Conservative,neil.hudson.mp@parliament.uk,Epping Forest,24846.0,8,14.921783902245968,10.3,56762.0,38573,480,19.3,7.69,24.78,64.43,80.9,VOA CTSOP 2023 (LAD),0,0,0,0,0
Epsom and Ewell,England,Helen Maguire,Liberal Democrat,helen.maguire.mp@parliament.uk,Epsom and Ewell,27678.0,10,8.269831896087098,10.0,33081.0,47176,492,17.8,7.73,46.35,69.5,80.58,VOA CTSOP 2023 (LAD),0,0,0,0,0
Erewash,England,Adam Thompson,Labour,adam.thompson.mp@parliament.uk,Erewash,20736.0,5,20.71555837955198,16.9,52945.0,44640,472,22.8,14.09,36.62,64.03,82.46,VOA CTSOP 2023 (LAD),0,0,0,0,0
Erith and Thamesmead,England,Ms Abena Oppong-Asare,Labour,abena.oppongasare.mp@parliament.uk,Greenwich,37697.0,4,24.12355775069769,8.8,123901.0,54790,830,22.0,13.45,43.08,63.47,75.35,VOA CTSOP 2023 (LAD),0,0,0,0,0
Esher and Walton,England,Monica Harding,Liberal Democrat,monica.harding.mp@parliament.uk,Elmbridge,28321.0,10,8.227923156284152,9.7,58639.0,44550,502,17.7,8.69,34.18,62.27,76.06,VOA CTSOP 2023 (LAD),0,0,0,0,0
Exeter,England,Steve Race,Labour,steve.race.mp@parliament.uk,Exeter,17102.0,7,17.09642735468361,15.0,56010.0,46362,357,20.9,14.22,33.98,56.48,71.51,VOA CTSOP 2023 (LAD),0,0,0,0,0
Exmouth and Exeter East,England,David Reed,Conservative,david.reed.mp@parliament.uk,East Devon,24168.0,5.0,,16.9,70913.0,43348,550,22.8,17.29,31.48,54.52,72.7,VOA CTSOP 2023 (LAD),0,0,0,0,0
Fareham and Waterlooville,England,Suella Braverman,Conservative,suella.braverman.mp@parliament.uk,Fareham,20781.0,5.0,,9.4,51319.0,45228,445,21.4,5.15,18.25,54.89,79.19,VOA CTSOP 2023 (LAD),0,0,0,0,0
Farnham and Bordon,England,Gregory Stafford,Conservative,greg.stafford.mp@parliament.uk,Waverley,25072.0,5.0,,12.2,55316.0,38637,549,21.9,14.46,30.74,57.67,78.36,VOA CTSOP 2023 (LAD),0,0,0,0,0
Faversham and Mid Kent,England,Helen Whately,Conservative,helen.whately.mp@parliament.uk,Maidstone,26059.0,6,19.173284683916027,13.2,75085.0,50571,555,21.3,15.59,28.76,56.23,72.32,VOA CTSOP 2023 (LAD),0,0,0,0,0
Feltham and Heston,England,Seema Malhotra,Labour (Co-op),seema.malhotra.mp@parliament.uk,Hounslow,36830.0,5,23.525094999296304,9.3,111524.0,44808,787,21.4,10.8,45.77,63.81,76.38,VOA CTSOP 2023 (LAD),0,0,0,0,0
Filton and Bradley Stoke,England,Claire Hazelgrove,Labour,claire.hazelgrove.mp@parliament.uk,South Gloucestershire,27581.0,9,11.344761694599272,9.9,125685.0,44907,510,18.5,7.63,18.31,47.74,70.69,VOA CTSOP 2023 (LAD),0,0,0,0,0
Finchley and Golders Green,England,Sarah Sackman,Labour,sarah.sackman.mp@parliament.uk,Barnet,33539.0,8,14.915372312572,9.9,161231.0,52743,645,19.2,6.7,55.02,69.1,79.26,VOA CTSOP 2023 (LAD),0,0,0,0,0
Folkestone and Hythe,England,Tony Vaughan,Labour,tony.vaughan.mp@parliament.uk,Folkestone and Hythe,19473.0,5,23.596818836171938,18.9,50972.0,44762,450,23.1,22.46,41.36,65.73,81.27,VOA CTSOP 2023 (LAD),0,0,0,0,0
Forest of Dean,England,Matt Bishop,Labour,matt.bishop.mp@parliament.uk,Forest of Dean,19318.0,7,17.78275640070961,20.2,39520.0,42195,420,21.7,24.95,32.85,55.88,74.71,VOA CTSOP 2023 (LAD),0,0,0,0,0
Frome and East Somerset,England,Anna Sabine,Liberal Democrat,anna.sabine.mp@parliament.uk,Bath and North East Somerset,21769.0,5.0,,14.9,84479.0,15607,487,22.4,25.26,38.63,66.69,79.07,VOA CTSOP 2023 (LAD),0,0,0,0,0
Fylde,England,Mr Andrew Snowden,Conservative,andrew.snowden.mp@parliament.uk,Fylde,23777.0,8,15.761169030121104,18.1,38711.0,47882,489,20.6,13.09,30.84,62.34,76.62,VOA CTSOP 2023 (LAD),0,0,0,0,0
Gainsborough,England,Sir Edward Leigh,Conservative,edward.leigh.mp@parliament.uk,West Lindsey,20624.0,6,20.637184706504925,21.1,44483.0,45640,468,22.7,17.48,26.84,52.78,67.59,VOA CTSOP 2023 (LAD),0,0,0,0,0
Gateshead Central and Whickham,England,Mark Ferguson,Labour,mark.ferguson.mp@parliament.uk,Gateshead,22997.0,5.0,,13.5,92244.0,47485,509,22.1,13.12,38.03,73.17,85.24,VOA CTSOP 2023 (LAD),0,0,0,0,0
Gedling,England,Michael Payne,Labour,michael.payne.mp@parliament.uk,Gedling,22786.0,8,15.753646044220895,15.0,54275.0,48495,457,20.1,6.11,29.17,64.13,83.36,VOA CTSOP 2023 (LAD),0,0,0,0,0
Gillingham and Rainham,England,Naushabah Khan,Labour,naushabah.khan.mp@parliament.uk,Medway,27118.0,5,23.00294566339952,14.7,117761.0,35889,606,22.3,14.33,33.55,65.15,81.99,VOA CTSOP 2023 (LAD),0,0,0,0,0
Glastonbury and Somerton,England,Sarah Dyke,Liberal Democrat,sarah.dyke.mp@parliament.uk,Somerset,19220.0,5.0,,16.9,266140.0,,437,22.7,,,,,,0,0,0,0,0
Gloucester,England,Alex McIntyre,Labour,alex.mcintyre.mp@parliament.uk,Gloucester,29586.0,5,23.13011547259279,11.2,58997.0,52649,643,21.7,16.16,27.6,49.62,72.35,VOA CTSOP 2023 (LAD),0,0,0,0,0
Godalming and Ash,England,Sir Jeremy Hunt,Conservative,huntj@parliament.uk,Waverley,24924.0,5.0,,12.2,55316.0,36950,546,21.9,15.85,35.75,63.62,80.74,VOA CTSOP 2023 (LAD),0,0,0,0,0
Goole and Pocklington,England,David Davis,Conservative,david.davis.mp@parliament.uk,East Riding of Yorkshire,22872.0,5.0,,17.7,157802.0,54273,524,22.9,14.43,29.68,54.93,74.34,VOA CTSOP 2023 (LAD),0,0,0,0,0
Gorton and Denton,England,Andrew Gwynne,Independent,gwynnea@parliament.uk,Manchester,34305.0,5.0,,17.9,221040.0,48257,787,22.9,16.52,42.67,64.79,76.91,VOA CTSOP 2023 (LAD),0,0,0,0,0
Gosport,England,Dame Caroline Dinenage,Conservative,caroline.dinenage.mp@parliament.uk,Gosport,20674.0,6,18.55886677025841,14.6,37984.0,42999,446,21.6,10.26,29.25,63.29,80.66,VOA CTSOP 2023 (LAD),0,0,0,0,0
Grantham and Bourne,England,Gareth Davies,Conservative,gareth.davies.mp@parliament.uk,South Kesteven,22580.0,5.0,,17.0,66033.0,48079,514,22.8,11.47,20.38,44.08,64.59,VOA CTSOP 2023 (LAD),0,0,0,0,0
Gravesham,England,Dr Lauren Sullivan,Labour,lauren.sullivan.mp@parliament.uk,Gravesham,29586.0,5,21.76374323679855,13.6,44161.0,44480,656,22.2,13.42,36.13,72.62,85.16,VOA CTSOP 2023 (LAD),0,0,0,0,0
Great Grimsby and Cleethorpes,England,Melanie Onn,Labour,melanie.onn.mp@parliament.uk,North East Lincolnshire,26442.0,5.0,,16.7,72582.0,50007,601,22.7,15.64,38.19,69.66,84.52,VOA CTSOP 2023 (LAD),0,0,0,0,0
Great Yarmouth,England,Rupert Lowe,Independent,rupert.lowe.mp@parliament.uk,Great Yarmouth,21648.0,2,33.29233555810582,15.7,46342.0,49330,539,24.9,18.95,33.41,60.0,80.8,VOA CTSOP 2023 (LAD),0,0,0,0,0
Greenwich and Woolwich,England,Matthew Pennycook,Labour,matthew.pennycook.mp@parliament.uk,Greenwich,27318.0,4,24.456688249561548,8.8,123901.0,49272,602,22.0,15.64,40.1,59.89,71.43,VOA CTSOP 2023 (LAD),0,0,0,0,0
Guildford,England,Zöe Franklin,Liberal Democrat,zoe.franklin.mp@parliament.uk,Guildford,22259.0,10,8.94385095693986,12.0,58992.0,49753,402,18.1,12.01,33.76,62.64,78.72,VOA CTSOP 2023 (LAD),0,0,0,0,0
Hackney North and Stoke Newington,England,Ms Diane Abbott,Independent,diane.abbott.office@parliament.uk,Hackney,32095.0,2,31.025784987923796,10.8,114871.0,51240,767,23.9,29.65,43.1,64.6,72.96,VOA CTSOP 2023 (LAD),0,0,0,0,0
Hackney South and Shoreditch,England,Dame Meg Hillier,Labour (Co-op),meghilliermp@parliament.uk,Hackney,21335.0,2,34.16512611950614,10.8,114871.0,51240,510,23.9,29.65,43.1,64.6,72.96,VOA CTSOP 2023 (LAD),0,0,0,0,0
Halesowen,England,Alex Ballinger,Labour,alex.ballinger.mp@parliament.uk,Dudley,23922.0,5.0,,13.2,139013.0,48797,528,22.1,6.29,30.79,69.44,85.18,VOA CTSOP 2023 (LAD),0,0,0,0,0
Halifax,England,Kate Dearden,Labour (Co-op),kate.dearden.mp@parliament.uk,Calderdale,28913.0,2,32.34121912203787,22.5,93875.0,48360,759,26.3,32.07,51.15,71.23,81.42,VOA CTSOP 2023 (LAD),0,0,0,0,0
Hamble Valley,England,Paul Holmes,Conservative,paul.holmes.mp@parliament.uk,Fareham,25310.0,5.0,,9.4,51319.0,46305,542,21.4,4.47,18.36,48.93,74.93,VOA CTSOP 2023 (LAD),0,0,0,0,0
Hammersmith and Chiswick,England,Andy Slaughter,Labour,slaughtera@parliament.uk,Hammersmith and Fulham,22729.0,5.0,,12.5,88372.0,59531,499,22.0,40.09,61.35,72.07,81.05,VOA CTSOP 2023 (LAD),0,0,0,0,0
Hampstead and Highgate,England,Tulip Siddiq,Labour,tulip.siddiq.mp@parliament.uk,Camden,23644.0,5.0,,14.3,101042.0,59155,527,22.3,44.59,58.72,74.82,84.14,VOA CTSOP 2023 (LAD),0,0,0,0,0
"Harborough, Oadby and Wigston",England,Neil O'Brien,Conservative,neil.obrien.mp@parliament.uk,Oadby and Wigston,24964.0,5.0,,14.0,23853.0,40104,555,22.2,7.84,20.68,59.46,76.24,VOA CTSOP 2023 (LAD),0,0,0,0,0
Harlow,England,Chris Vince,Labour (Co-op),chris.vince.mp@parliament.uk,Harlow,30887.0,6,20.353234821337157,7.8,39403.0,50729,629,20.4,4.53,9.5,59.11,74.25,VOA CTSOP 2023 (LAD),0,0,0,0,0
Harpenden and Berkhamsted,England,Victoria Collins,Liberal Democrat,victoria.collins.mp@parliament.uk,Dacorum,25649.0,5.0,,8.8,65946.0,52982,546,21.3,8.57,24.33,60.05,79.37,VOA CTSOP 2023 (LAD),0,0,0,0,0
Harrogate and Knaresborough,England,Tom Gordon,Liberal Democrat,tom.gordon.mp@parliament.uk,North Yorkshire,23071.0,10,10.494683397160653,21.7,285064.0,,450,19.5,,,,,,0,0,0,0,0
Harrow East,England,Bob Blackman,Conservative,bob.blackman.mp@parliament.uk,Harrow,28900.0,8,15.801011667019933,8.9,97224.0,40924,551,19.1,4.62,62.49,75.07,83.35,VOA CTSOP 2023 (LAD),0,0,0,0,0
Harrow West,England,Gareth Thomas,Labour (Co-op),gareth.thomas.mp@parliament.uk,Harrow,32614.0,8,15.791265048421355,8.9,97224.0,47990,622,19.1,2.62,62.68,75.85,84.37,VOA CTSOP 2023 (LAD),0,0,0,0,0
Hartlepool,England,Mr Jonathan Brash,Labour,jonathan.brash.mp@parliament.uk,Hartlepool,23410.0,2,34.960676467762084,11.4,42420.0,45160,563,24.0,10.39,26.24,61.65,75.95,VOA CTSOP 2023 (LAD),0,0,0,0,0
Harwich and North Essex,England,Sir Bernard Jenkin,Conservative,bernard.jenkin.mp@parliament.uk,Tendring,21333.0,7,16.906988813234584,15.2,70116.0,46862,446,20.9,10.25,27.11,55.18,76.14,VOA CTSOP 2023 (LAD),0,0,0,0,0
Hastings and Rye,England,Helena Dollimore,Labour (Co-op),helena.dollimore.mp@parliament.uk,Hastings,22368.0,2,32.45480176862703,21.5,42740.0,50743,583,26.1,33.51,49.48,70.97,88.14,VOA CTSOP 2023 (LAD),0,0,0,0,0
Havant,England,Alan Mak,Conservative,alan.mak.mp@parliament.uk,Havant,21481.0,4,23.868802876594508,11.2,56532.0,42532,483,22.5,3.54,13.44,64.29,84.78,VOA CTSOP 2023 (LAD),0,0,0,0,0
Hayes and Harlington,England,John McDonnell,Labour,mcdonnellj@parliament.uk,Hillingdon,37615.0,4,24.471897395550734,8.0,118452.0,44648,823,21.9,1.87,41.75,67.35,81.5,VOA CTSOP 2023 (LAD),0,0,0,0,0
Hazel Grove,England,Lisa Smart,Liberal Democrat,lisa.smart.mp@parliament.uk,Stockport,21783.0,6,18.863448437907927,14.5,130518.0,40738,469,21.5,13.9,42.26,76.86,90.0,VOA CTSOP 2023 (LAD),0,0,0,0,0
Hemel Hempstead,England,David Taylor,Labour,david.taylor.mp@parliament.uk,Dacorum,27738.0,8,15.918807717431879,8.8,65946.0,37570,529,19.1,8.3,18.33,58.56,79.55,VOA CTSOP 2023 (LAD),0,0,0,0,0
Hendon,England,David Pinto-Duschinsky,Labour,david.pintoduschinsky.mp@parliament.uk,Barnet,36190.0,6,19.253780989601506,9.9,161231.0,46150,751,20.8,6.7,55.02,69.1,79.26,VOA CTSOP 2023 (LAD),0,0,0,0,0
Henley and Thame,England,Freddie van Mierlo,Liberal Democrat,freddie.vanmierlo.mp@parliament.uk,South Oxfordshire,21855.0,5.0,,12.5,64909.0,46764,480,22.0,13.85,23.95,53.81,70.86,VOA CTSOP 2023 (LAD),0,0,0,0,0
Hereford and South Herefordshire,England,Jesse Norman,Conservative,jesse.norman.mp@parliament.uk,"Herefordshire, County of",20746.0,6,19.403015333287403,25.0,84052.0,45340,485,23.4,25.79,34.17,55.13,75.26,VOA CTSOP 2023 (LAD),0,0,0,0,0
Herne Bay and Sandwich,England,Sir Roger Gale,Conservative,galerj@parliament.uk,Canterbury,20433.0,5.0,,15.1,67401.0,47904,458,22.4,20.98,40.01,66.39,81.1,VOA CTSOP 2023 (LAD),0,0,0,0,0
Hertford and Stortford,England,Josh Dean,Labour,josh.dean.mp@parliament.uk,East Hertfordshire,27451.0,10,7.953605912097808,10.3,64475.0,40181,489,17.8,13.67,24.8,52.07,71.47,VOA CTSOP 2023 (LAD),0,0,0,0,0
Hertsmere,England,Sir Oliver Dowden,Conservative,oliver.dowden.mp@parliament.uk,Hertsmere,26477.0,8,13.968569553655676,8.2,44372.0,45959,502,19.0,4.31,24.0,64.23,77.15,VOA CTSOP 2023 (LAD),0,0,0,0,0
Hexham,England,Joe Morris,Labour,joe.morris.mp@parliament.uk,Northumberland,18699.0,9,12.462519487528752,17.5,152126.0,48432,368,19.7,15.21,34.38,61.46,79.19,VOA CTSOP 2023 (LAD),9,7,7,7,7
